ID;INVOICENO;DATE_;CUSTOMERID;NAMESURNAME;CUSTOMERGENDER;CUSTOMERBIRTHDATE;ITEMCODE;ITEMNAME;UNITPRICE;BRAND;CATEGORY1;CATEGORY2;CATEGORY3;AMOUNT;PRICE;TOTALPRICE;REGION;CITY;TOWN;DISTRICT;ADDRESSTEXT;BARCODEDATE;INVOICEDATE
168;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;001339;EXTRA GEMLİK SİYAH ZEYTİN 800 GR;50;MARKA-01;SÜT KAHVALTILIK;ZEYTİN;SİYAH ZEYTİN;2;50,94;101,88;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:50:13.023;2022-04-08 08:51:42.440
169;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;000897;TOZ İÇECEK 350 GR NAR;30,8;MARKA-99;İÇECEK;GAZSIZ İÇECEK;TOZ İÇECEK;3;36,26;108,78;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:50:27.387;2022-04-08 08:51:42.440
170;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;001346;AKNE JELİ 15ML;130;MARKA-39;KOZMETİK;YÜZ BAKIMI;YÜZ TEMİZLEME ÜRÜNLERİ;4;192,41;769,64;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:50:41.153;2022-04-08 08:51:42.440
171;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;000083;ARAP SABUNU 500 GR. TORBA;22,8;MARKA-137;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;YÜZEY TEMİZLEYİCİ;4;21,11;84,44;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:50:56.127;2022-04-08 08:51:42.440
172;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;001228;KAYISI 1+5;26;MARKA-54;İÇECEK;GAZSIZ İÇECEK;KONSANTİRE İÇECEK;4;26,88;107,52;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:51:06.713;2022-04-08 08:51:42.440
173;08042022-000043;2022-04-08 08:49:51.073;2982;Beyzanur Adin;K;1951-12-15;001185;TRAŞ KOLONYASI 250 ML;52;MARKA-15;KOZMETİK;TRAŞ MALZEMELERİ;TRAŞ SONRASI ÜRÜNLER;3;47,44;142,32;Ege;İzmir;BORNOVA;GAZİ OSMAN PAŞA MAH.;GAZİ OSMAN PAŞA MAH.5425. SOKAK NO:723 96471 BORNOVA/İZMİR;2022-04-08 08:51:21.140;2022-04-08 08:51:42.440
174;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;000921;İNCE ÇORAP SÜPER  FİT 57 DİZALTI;10;MARKA-179;EV;İÇ GİYİM AKSESUAR;BAYAN İNCE ÇORAP;2;9,86;19,72;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:16.177;2022-02-11 08:51:10.913
175;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;000834;KOMPLE VÜCUT SETİ;191,2;MARKA-213;KOZMETİK;MAKYAJ MALZEMELERİ;AĞDA;1;155,62;155,62;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:26.573;2022-02-11 08:51:10.913
176;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;000992;8 W=42 W 475 LM ÇOOL DAYLIGHT;52;MARKA-166;EV;ELEKTRONİK;AYDINLATMA;1;47,74;47,74;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:38.020;2022-02-11 08:51:10.913
177;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;000065;HARDAL 345 GR PVC;18;MARKA-200;GIDA;HAZIR YEMEKLER;KETÇAP MAYONEZ;2;14,89;29,78;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:41.370;2022-02-11 08:51:10.913
178;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;001065;KAĞIT HELVA 140 GR;31,6;MARKA-129;SÜT KAHVALTILIK;KAHVALTILIK;HELVA;1;36,41;36,41;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:51.760;2022-02-11 08:51:10.913
179;11022022-000044;2022-02-11 08:50:01.063;8556;"Arif Akkoyunlu ";E;1981-01-01;000261;UN 1 KG.;19,12;MARKA-189;GIDA;UNLU MAMÜLLER;UN;3;26,21;78,63;İç Anadolu;Aksaray;AKSARAY MERKEZ;PAŞACIK MAH.;PAŞACIK MAH.1603. SOKAK NO:388 115373 AKSARAY MERKEZ/AKSARAY;2022-02-11 08:50:55.383;2022-02-11 08:51:10.913
180;26102022-000045;2022-10-26 08:42:18.077;5871;Yalçın Aktay;E;1961-11-06;000717;JEL KAPSÜLLERİ 1120 GR;199,2;MARKA-14;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;SIVI JEL DETERJAN;3;167,94;503,82;Marmara;Edirne;LALAPAŞA;MERKEZ MAH.;MERKEZ MAH.HÜKÜMET SOKAK NO:574 90046 LALAPAŞA/EDİRNE;2022-10-26 08:42:30.253;2022-10-26 08:42:50.900
181;18082022-000046;2022-08-18 08:46:30.160;688;Yeliz Özkul;K;1978-04-03;000869;PİRİNÇ UNU 200 GR.;14;MARKA-155;GIDA;UNLU MAMÜLLER;TATLILAR;3;20,38;61,14;İç Anadolu;Aksaray;AKSARAY MERKEZ;BAHÇELİ MAH.;BAHÇELİ MAH.3708. SOKAK NO:730 115347 AKSARAY MERKEZ/AKSARAY;2022-08-18 08:46:34.447;2022-08-18 08:47:04.713
182;18082022-000046;2022-08-18 08:46:30.160;688;Yeliz Özkul;K;1978-04-03;000944;SALGAM SUYU ACILI 330ML CAM ŞİŞE;12;MARKA-66;İÇECEK;GAZSIZ İÇECEK;ŞALGAM SUYU;2;11,98;23,96;İç Anadolu;Aksaray;AKSARAY MERKEZ;BAHÇELİ MAH.;BAHÇELİ MAH.3708. SOKAK NO:730 115347 AKSARAY MERKEZ/AKSARAY;2022-08-18 08:46:37.233;2022-08-18 08:47:04.713
183;18082022-000046;2022-08-18 08:46:30.160;688;Yeliz Özkul;K;1978-04-03;000756;MARGARIN 250GR KASE;15,6;MARKA-177;SÜT KAHVALTILIK;TEREYAĞ MARGARİN;MARGARİNLER;2;17,91;35,82;İç Anadolu;Aksaray;AKSARAY MERKEZ;BAHÇELİ MAH.;BAHÇELİ MAH.3708. SOKAK NO:730 115347 AKSARAY MERKEZ/AKSARAY;2022-08-18 08:46:42.163;2022-08-18 08:47:04.713
184;29062022-000047;2022-06-29 08:48:34.197;8183;Veysel Avan;E;1987-04-22;000064;650 KETÇAP+MAYONEZ;64;MARKA-200;GIDA;HAZIR YEMEKLER;KETÇAP MAYONEZ;4;56,79;227,16;Akdeniz;Adana;KOZAN;TUFANPAŞA MAH.;TUFANPAŞA MAH.HAL SOKAK NO:608 78556 KOZAN/ADANA;2022-06-29 08:48:44.250;2022-06-29 08:49:33.840
185;29062022-000047;2022-06-29 08:48:34.197;8183;Veysel Avan;E;1987-04-22;000920;CEVİZLİ BİBER EZMESİ 200 GR ACILI;42;MARKA-161;GIDA;HAZIR YEMEKLER;HAZIR YEMEK;1;43,71;43,71;Akdeniz;Adana;KOZAN;TUFANPAŞA MAH.;TUFANPAŞA MAH.HAL SOKAK NO:608 78556 KOZAN/ADANA;2022-06-29 08:48:57.567;2022-06-29 08:49:33.840
186;29062022-000047;2022-06-29 08:48:34.197;8183;Veysel Avan;E;1987-04-22;000571;PASTABAN KAKAOLU 2 KAT 250GR.;41,6;MARKA-208;GIDA;UNLU MAMÜLLER;EKMEK;4;44,88;179,52;Akdeniz;Adana;KOZAN;TUFANPAŞA MAH.;TUFANPAŞA MAH.HAL SOKAK NO:608 78556 KOZAN/ADANA;2022-06-29 08:49:11.513;2022-06-29 08:49:33.840
187;29062022-000047;2022-06-29 08:48:34.197;8183;Veysel Avan;E;1987-04-22;000713;ODA KOKUSU LAVENDER YEDEK;55,6;MARKA-07;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;ODA KOKULARI;1;57,13;57,13;Akdeniz;Adana;KOZAN;TUFANPAŞA MAH.;TUFANPAŞA MAH.HAL SOKAK NO:608 78556 KOZAN/ADANA;2022-06-29 08:49:17.903;2022-06-29 08:49:33.840
188;29082022-000048;2022-08-29 08:43:01.190;6678;Engin Mumcu;E;1993-10-09;000580;KOPAR-KULLAN TEMİZLİK BEZİ;71,6;MARKA-215;DETERJAN TEMİZLİK;EV TEMİZLİK GEREÇLERİ;TEMİZLİK AMAÇLI BEZLER;4;53,98;215,92;Marmara;İstanbul;SİLİVRİ;ORTAKÖY MERKEZ MAH.;ORTAKÖY MERKEZ MAH.ESİN SOKAK NO:533 96403 SİLİVRİ/İSTANBUL;2022-08-29 08:43:18.840;2022-08-29 08:43:40.743
189;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;001341;TALK PUDRA 50GR.ZARF;34;MARKA-57;BEBEK;BEBEK BAKIM;PUDRALAR;2;37,78;75,56;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:53:38.530;2022-03-27 08:54:37.047
190;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;001327;SÜTLÜ KAKAO 300 GR;18,8;MARKA-10;İÇECEK;ÇAY KAHVE;TOZ İÇECEKLER;1;17,08;17,08;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:53:45.083;2022-03-27 08:54:37.047
191;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;000031;DOMATES SALÇASI 170 GR;12;MARKA-200;GIDA;HAZIR YEMEKLER;SALÇA;4;11,14;44,56;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:53:57.557;2022-03-27 08:54:37.047
192;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;000227;BUZDOLABI POŞETİ 24*38;7,6;MARKA-52;EV;MUTFAK EŞYA GEREÇLERİ;ÜRÜN SAKLAMA;4;6,03;24,12;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:54:10.340;2022-03-27 08:54:37.047
193;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;000945;SALGAM SUYU ACILI 1000ML CAM ŞİŞE;34;MARKA-66;İÇECEK;GAZSIZ İÇECEK;ŞALGAM SUYU;2;35,99;71,98;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:54:11.727;2022-03-27 08:54:37.047
194;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;000103;SÜNGER ASKISI;20;MARKA-12;EV;MUTFAK EŞYA GEREÇLERİ;PLASTİK EV GEREÇLERİ;1;23,98;23,98;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:54:15.390;2022-03-27 08:54:37.047
195;27032022-000049;2022-03-27 08:53:28.230;452;Deniz Birol;K;1965-11-02;001292;SÜTLÜ PEYNİRLİ PEKMEZ 250 ML;71,2;MARKA-11;BEBEK;HAZIR YEMEK MAMA;BİBERON MAMALARI;2;70,28;140,56;İç Anadolu;Ankara;ETİMESGUT;BAHÇEKAPI MAH.;BAHÇEKAPI MAH.2519. SOKAK NO:209 81002 ETİMESGUT/ANKARA;2022-03-27 08:54:16.680;2022-03-27 08:54:37.047
196;08032022-000050;2022-03-08 08:45:28.220;6236;Kayra Taşlı;E;1965-04-15;000700;SIVI DET.2 LT.RENKLİ;63,6;MARKA-33;DETERJAN TEMİZLİK;ÇAMAŞIR YIKAMA;SIVI JEL DETERJAN;1;50,15;50,15;Akdeniz;Hatay;İSKENDERUN;SARISEKİ-KARŞIYAKA MAH.;SARISEKİ-KARŞIYAKA MAH.SAHİL SOKAK NO:419 94369 İSKENDERUN/HATAY;2022-03-08 08:45:33.113;2022-03-08 08:46:19.447
197;08032022-000050;2022-03-08 08:45:28.220;6236;Kayra Taşlı;E;1965-04-15;000914;PARLATICI KUTU SÜNGER NATUREL;31,6;MARKA-192;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;AYAKKABI BAKIM;3;31,35;94,05;Akdeniz;Hatay;İSKENDERUN;SARISEKİ-KARŞIYAKA MAH.;SARISEKİ-KARŞIYAKA MAH.SAHİL SOKAK NO:419 94369 İSKENDERUN/HATAY;2022-03-08 08:45:45.520;2022-03-08 08:46:19.447
198;08032022-000050;2022-03-08 08:45:28.220;6236;Kayra Taşlı;E;1965-04-15;000340;ALUMİNYUM FOLYO 15 METRE;22;MARKA-03;EV;MUTFAK EŞYA GEREÇLERİ;MUTFAK SARF MALZEMESİ;3;19,27;57,81;Akdeniz;Hatay;İSKENDERUN;SARISEKİ-KARŞIYAKA MAH.;SARISEKİ-KARŞIYAKA MAH.SAHİL SOKAK NO:419 94369 İSKENDERUN/HATAY;2022-03-08 08:45:58.830;2022-03-08 08:46:19.447
199;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;001106;FINDIK EZMESİ 320 GR;111,92;MARKA-93;SÜT KAHVALTILIK;KAHVALTILIK;KREM ÇİKOLATA;2;126,33;252,66;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:06.000;2022-03-05 08:50:20.800
200;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;000887;NAR EKŞİLİ SOS 2'Lİ PAKET 430 GR;31,92;MARKA-90;GIDA;TUZ BAHARAT;SOS;1;33,57;33,57;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:12.683;2022-03-05 08:50:20.800
201;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;001260;MISIRÖZÜ YAĞI 5 LT.TENEKE;199,92;MARKA-210;GIDA;SIVI YAĞLAR;MISIRÖZÜ;3;237,6;712,8;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:19.813;2022-03-05 08:50:20.800
202;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;000290;ŞEKER STICK NANE 28GR;6;MARKA-123;GIDA;SAKIZ SEKERLEME;ŞEKERLEME;4;5,39;21,56;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:30.903;2022-03-05 08:50:20.800
203;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;000055;YAPRAK SARMA 190GR;25,2;MARKA-200;GIDA;HAZIR YEMEKLER;HAZIR YEMEK;3;25,05;75,15;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:42.577;2022-03-05 08:50:20.800
204;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;001188;HALİ MAKİNE 900 ML LİMONLU;79,2;MARKA-130;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;HALI ŞAMPUAN;3;119,93;359,79;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:50.873;2022-03-05 08:50:20.800
205;05032022-000051;2022-03-05 08:48:48.260;290;"Diyar Turan ";E;1958-03-07;000930;NAR EKSİSİ PEKMEZİ 420 GR.;21,6;MARKA-08;SÜT KAHVALTILIK;KAHVALTILIK;TAHİN PEKMEZ;4;23,21;92,84;İç Anadolu;Sivas;GEMEREK;YENİÇUBUK-YENİHAYAT MAH.;YENİÇUBUK-YENİHAYAT MAH.ATAKENT KÜME EVLERİ SOKAK NO:695 110236 GEMEREK/SİVAS;2022-03-05 08:49:55.903;2022-03-05 08:50:20.800
206;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;001352;MELAMIN SERVİS TEPSİSİ;103,6;MARKA-220;EV;MUTFAK EŞYA GEREÇLERİ;SERVİS MALZEMELERİ;2;106,79;213,58;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:49:32.350;2022-04-24 08:51:00.223
207;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000416;DİŞ MACUNU BEYAZ GÜÇ 50ML NANE FERAHLIĞI;10;MARKA-186;KOZMETİK;AĞIZ BAKIM;DİŞ MACUNU;2;12,42;24,84;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:49:47.073;2022-04-24 08:51:00.223
208;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000389;TÜY SARARTICI KREM 53GR;76;MARKA-184;KOZMETİK;MAKYAJ MALZEMELERİ;AĞDA;1;75,07;75,07;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:49:48.883;2022-04-24 08:51:00.223
209;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000278;AY ÇEKİRDEĞİ 200 GR;31,2;MARKA-196;GIDA;BÜSKİVİ ÇEREZ;KURUYEMİŞ;4;39,73;158,92;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:50:03.957;2022-04-24 08:51:00.223
210;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000468;DİŞ FIRÇASI;15,6;MARKA-186;KOZMETİK;AĞIZ BAKIM;DİŞ FIRÇASI;2;19,56;39,12;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:50:18.277;2022-04-24 08:51:00.223
211;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000043;4LU KALEM PİL AAA POWERCHECK;74;MARKA-71;EV;ELEKTRONİK;PİL;1;78,74;78,74;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:50:29.573;2022-04-24 08:51:00.223
212;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000121;TAVA KAYMAKLI YOĞURT 1,500 GR;46,8;MARKA-108;SÜT KAHVALTILIK;YOĞURT;YOĞURTLAR;3;59,62;178,86;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:50:39.743;2022-04-24 08:51:00.223
213;24042022-000052;2022-04-24 08:49:21.303;8499;Levent Tamer;E;1992-08-17;000857;ZEYTİNYAĞI SIZMA 500ML;46;MARKA-79;GIDA;SIVI YAĞLAR;ZEYTİNYAĞI;2;58,32;116,64;Ege;İzmir;ÇEŞME;YALI MAH.;YALI MAH.6160. SOKAK NO:49 96949 ÇEŞME/İZMİR;2022-04-24 08:50:54.933;2022-04-24 08:51:00.223
214;02032022-000053;2022-03-02 08:45:26.320;4532;Burhan Keseroğlu;E;1997-01-16;001023;CIMBİZ-STAİNLESS STEEL SİYAH;40;MARKA-146;KOZMETİK;MAKYAJ MALZEMELERİ;MANİKUR PEDİKÜR ÜRÜNLERİ;1;45,62;45,62;Ege;Manisa;DEMİRCİ;MİTHATPAŞA MAH.;MİTHATPAŞA MAH.HASTANE SOKAK NO:654 103317 DEMİRCİ/MANİSA;2022-03-02 08:45:32.120;2022-03-02 08:45:53.523
215;02032022-000053;2022-03-02 08:45:26.320;4532;Burhan Keseroğlu;E;1997-01-16;001253;DANA SOTE;247,2;MARKA-120;ET TAVUK;KIRMIZI ET;DANA;1;227,09;227,09;Ege;Manisa;DEMİRCİ;MİTHATPAŞA MAH.;MİTHATPAŞA MAH.HASTANE SOKAK NO:654 103317 DEMİRCİ/MANİSA;2022-03-02 08:45:46.327;2022-03-02 08:45:53.523
216;22062022-000054;2022-06-22 08:46:34.330;7998;Nuri Kaplangı;E;1987-07-30;000957;TEREYAĞ 500 GR;79,2;MARKA-62;SÜT KAHVALTILIK;TEREYAĞ MARGARİN;TEREYAĞ;2;117,35;234,7;Marmara;Bursa;İNEGÖL;SÜLEYMANİYE MAH.;SÜLEYMANİYE MAH.KOYUNCU SOKAK NO:837 86314 İNEGÖL/BURSA;2022-06-22 08:46:42.907;2022-06-22 08:47:12.203
217;22062022-000054;2022-06-22 08:46:34.330;7998;Nuri Kaplangı;E;1987-07-30;000212;ALKALIN BÜYÜK BOY 2'Lİ;48,8;MARKA-210;EV;ELEKTRONİK;PİL;1;62,14;62,14;Marmara;Bursa;İNEGÖL;SÜLEYMANİYE MAH.;SÜLEYMANİYE MAH.KOYUNCU SOKAK NO:837 86314 İNEGÖL/BURSA;2022-06-22 08:46:55.940;2022-06-22 08:47:12.203
218;22062022-000054;2022-06-22 08:46:34.330;7998;Nuri Kaplangı;E;1987-07-30;001308;GÜNLÜK SÜT KUTU 1 LT.;26;MARKA-180;SÜT KAHVALTILIK;SÜT;GÜNLÜK SÜT;1;27,29;27,29;Marmara;Bursa;İNEGÖL;SÜLEYMANİYE MAH.;SÜLEYMANİYE MAH.KOYUNCU SOKAK NO:837 86314 İNEGÖL/BURSA;2022-06-22 08:47:02.090;2022-06-22 08:47:12.203
219;04012022-000055;2022-01-04 08:47:11.343;1277;Kumsal Boyacı;K;1975-04-17;001158;DİKİŞSİZ ÇORAP;31,2;MARKA-179;EV;İÇ GİYİM AKSESUAR;ÇORAP;2;37,07;74,14;İç Anadolu;Konya;SELÇUKLU;FATİH MAH.;FATİH MAH.BAKACAK SOKAK NO:175 100642 SELÇUKLU/KONYA;2022-01-04 08:47:16.137;2022-01-04 08:47:36.497
220;04012022-000055;2022-01-04 08:47:11.343;1277;Kumsal Boyacı;K;1975-04-17;001015;TOZ İÇECEK TARÇİN 300 GR;17,2;MARKA-10;İÇECEK;ÇAY KAHVE;TOZ İÇECEKLER;4;15,22;60,88;İç Anadolu;Konya;SELÇUKLU;FATİH MAH.;FATİH MAH.BAKACAK SOKAK NO:175 100642 SELÇUKLU/KONYA;2022-01-04 08:47:27.170;2022-01-04 08:47:36.497
221;04012022-000055;2022-01-04 08:47:11.343;1277;Kumsal Boyacı;K;1975-04-17;000940;MISIRÖZÜ YAĞI 5 LT PET ŞİŞE;182;MARKA-79;GIDA;SIVI YAĞLAR;MISIRÖZÜ;3;224,18;672,54;İç Anadolu;Konya;SELÇUKLU;FATİH MAH.;FATİH MAH.BAKACAK SOKAK NO:175 100642 SELÇUKLU/KONYA;2022-01-04 08:47:31.333;2022-01-04 08:47:36.497
222;19112022-000056;2022-11-19 08:47:15.380;8379;Hatice Aycan;K;1971-12-19;000957;TEREYAĞ 500 GR;79,2;MARKA-62;SÜT KAHVALTILIK;TEREYAĞ MARGARİN;TEREYAĞ;4;97,58;390,32;İç Anadolu;Kayseri;İNCESU;VALİ İHSAN ARAS MAH.;VALİ İHSAN ARAS MAH.GÖKNAR CADDESİ SOKAK NO:806 99258 İNCESU/KAYSERİ;2022-11-19 08:47:33.797;2022-11-19 08:48:15.970
223;19112022-000056;2022-11-19 08:47:15.380;8379;Hatice Aycan;K;1971-12-19;001013;DOMATES SALÇASI 4,300 GR;162;MARKA-150;GIDA;HAZIR YEMEKLER;SALÇA;2;202,46;404,92;İç Anadolu;Kayseri;İNCESU;VALİ İHSAN ARAS MAH.;VALİ İHSAN ARAS MAH.GÖKNAR CADDESİ SOKAK NO:806 99258 İNCESU/KAYSERİ;2022-11-19 08:47:35.347;2022-11-19 08:48:15.970
224;19112022-000056;2022-11-19 08:47:15.380;8379;Hatice Aycan;K;1971-12-19;000970;BAYAN PATİK ÇORAP;15,2;MARKA-179;EV;İÇ GİYİM AKSESUAR;ÇORAP;2;15,11;30,22;İç Anadolu;Kayseri;İNCESU;VALİ İHSAN ARAS MAH.;VALİ İHSAN ARAS MAH.GÖKNAR CADDESİ SOKAK NO:806 99258 İNCESU/KAYSERİ;2022-11-19 08:47:48.880;2022-11-19 08:48:15.970
225;19112022-000056;2022-11-19 08:47:15.380;8379;Hatice Aycan;K;1971-12-19;000236;WC 2Lİ TEM.KÜPÜ 100 ML;42,8;MARKA-37;DETERJAN TEMİZLİK;EV TEMİZLEYİCİ;TUVALET TEMİZLEYİCİ;2;37;74;İç Anadolu;Kayseri;İNCESU;VALİ İHSAN ARAS MAH.;VALİ İHSAN ARAS MAH.GÖKNAR CADDESİ SOKAK NO:806 99258 İNCESU/KAYSERİ;2022-11-19 08:47:51.610;2022-11-19 08:48:15.970
